LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
E 911 State Tax Fund-Operating,Emergency Communications Total,,,,,"2,489,189","2,681,165","2,634,873","2,634,873",2
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment,,,,"27,000","28,400","28,400","28,400",3
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,,,,"1,965,151","1,972,151","2,059,718","2,059,718",3
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,,,,"134,514","265,377","110,652","110,652",3
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,,,,"20,080","31,510","35,310","35,310",3
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense,,,,900,900,900,900,3
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,,,,"341,544","382,827","399,893","399,893",3
Economic Development Fund Total,,,,,,"2,130,302","1,621,762","1,935,950","1,935,950",1
Economic Development Fund,Budget & Management Services Total,,,,,"68,053","2,500","30,000","30,000",2
Economic Development Fund,Budget & Management Services,Direct Expenses,,,,"68,053","2,500","2,500","2,500",3
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out,,,,,,"27,500","27,500",3
Economic Development Fund,City Manager Total,,,,,"5,000","1,000",,,3
Economic Development Fund,City Manager,Direct Expenses,,,,"5,000","1,000",,,3
Economic Development Fund,Finance Administration Total,,,,,"900,000","395,650","500,000","500,000",2
Economic Development Fund,Finance Administration,Direct Expenses,,,,"900,000","395,650","500,000","500,000",3
Economic Development Fund,Information Technology Admin Total,,,,,"369,000","359,000",,,2
Economic Development Fund,Information Technology Admin,Direct Expenses,,,,"162,000","152,000",,,3
Economic Development Fund,Information Technology Admin,Other Expense,,,,"207,000","207,000",,,3
Economic Development Fund,Office of Economic Development Total,,,,,,,"1,405,950","1,405,950",2
Economic Development Fund,Office of Economic Development,Direct Expenses,,,,,,"869,450","869,450",3
Economic Development Fund,Office of Economic Development,Other Expense,,,,,,"536,500","536,500",3
Economic Development Fund,Planning Total,,,,,"788,249","863,612",,,2
Economic Development Fund,Planning,Direct Expenses,,,,"684,450","759,450",,,3
Economic Development Fund,Planning,Other Expense,,,,"103,799","104,162",,,3
Emergency Shelter Grant Total,,,,,,,,"217,085","217,085",1
Emergency Shelter Grant,Community Development Total,,,,,,,"217,085","217,085",2
Emergency Shelter Grant,Community Development,Other Expense,,,,,,"217,085","217,085",3
General Debt Service Fund Total,,,,,,"52,693,546","52,700,404","58,832,300","58,832,300",1
General Debt Service Fund,Treasury Office Total,,,,,"52,693,546","52,700,404","58,832,300","58,832,300",2
General Debt Service Fund,Treasury Office,Capital Project Expense,,,,"51,408,546","51,415,404","57,547,300","57,547,300",3
General Debt Service Fund,Treasury Office,Direct Expenses,,,,"1,285,000","1,285,000","1,285,000","1,285,000",3
General Fund Total,,,,,,"383,571,703","404,773,087","416,705,376","416,705,376",1
General Fund,Accounting & Fin Reporting Total,,,,,"1,655,048","1,884,210","1,863,406","1,863,406",2
General Fund,Accounting & Fin Reporting,Capital Equipment,,,,,"4,000","2,000","2,000",3
General Fund,Accounting & Fin Reporting,Direct Expenses,,,,"206,717","224,705","159,900","159,900",3
General Fund,Accounting & Fin Reporting,Employee Benefits,,,,"294,676","343,468","371,979","371,979",3
General Fund,Accounting & Fin Reporting,Miscellaneous,,,,"21,517","33,017","30,700","30,700",3
General Fund,Accounting & Fin Reporting,Salaries and Wages,,,,"1,132,138","1,279,020","1,298,827","1,298,827",3
General Fund,Agency Appropriations Total,,,,,"2,052,760","2,343,183",,,2
General Fund,Agency Appropriations,Other Expense,,,,"2,052,760","2,343,183",,,3
General Fund,Arts Appropriations Total,,,,,,,"2,317,093","2,317,093",2
General Fund,Arts Appropriations,Other Expense,,,,,,"2,317,093","2,317,093",3
General Fund,Arts Office_P&R Total,,,,,"391,141","869,123",,,2
General Fund,Arts Office_P&R,Capital Equipment,,,,,"3,268",,,3
General Fund,Arts Office_P&R,Direct Expenses,,,,"41,573","43,324",,,3
General Fund,Arts Office_P&R,Employee Benefits,,,,"65,918","178,951",,,3
General Fund,Arts Office_P&R,Miscellaneous,,,,"5,677","7,477",,,3
General Fund,Arts Office_P&R,Salaries and Wages,,,,"277,973","636,103",,,3
General Fund,Budget & Management Services Total,,,,,"1,396,621","1,724,333","1,850,989","1,850,989",2
General Fund,Budget & Management Services,Direct Expenses,,,,"24,955","46,388","123,217","123,217",3
General Fund,Budget & Management Services,Employee Benefits,,,,"249,045","329,067","342,509","342,509",3
General Fund,Budget & Management Services,Miscellaneous,,,,"17,090","23,800","43,350","43,350",3
General Fund,Budget & Management Services,Other Expense,,,,"6,733","10,708",,,3
General Fund,Budget & Management Services,Salaries and Wages,,,,"1,098,798","1,314,370","1,341,913","1,341,913",3
General Fund,City Attorney Total,,,,,"2,606,625","2,829,794","2,987,074","2,987,074",2
General Fund,City Attorney,Capital Equipment,,,,"2,000","2,000","2,000","2,000",3
General Fund,City Attorney,Direct Expenses,,,,"150,578","148,198","204,677","204,677",3
General Fund,City Attorney,Employee Benefits,,,,"489,509","527,122","535,753","535,753",3
General Fund,City Attorney,Miscellaneous,,,,"99,751","99,751","109,600","109,600",3
General Fund,City Attorney,Other Expense,,,,"11,614","18,637",,,3
General Fund,City Attorney,Salaries and Wages,,,,"1,853,173","2,034,086","2,135,044","2,135,044",3
General Fund,City Clerk Total,,,,,"537,338","554,499","534,399","534,399",2
General Fund,City Clerk,Capital Equipment,,,,"2,000","2,000","2,000","2,000",3
General Fund,City Clerk,Direct Expenses,,,,"88,785","90,122","66,828","66,828",3
General Fund,City Clerk,Employee Benefits,,,,"79,645","82,794","86,855","86,855",3
General Fund,City Clerk,Miscellaneous,,,,"43,596","43,535","46,835","46,835",3
General Fund,City Clerk,Other Expense,,,,"2,108","3,394",,,3
General Fund,City Clerk,Salaries and Wages,,,,"321,204","332,654","331,881","331,881",3
General Fund,City Council Total,,,,,"272,644","276,385","282,485","282,485",2
General Fund,City Council,Capital Equipment,,,,"2,500","2,500","2,500","2,500",3
General Fund,City Council,Direct Expenses,,,,"20,544","19,998","33,893","33,893",3
General Fund,City Council,Employee Benefits,,,,"48,757","69,685","51,551","51,551",3
General Fund,City Council,Miscellaneous,,,,"56,730","62,830","67,100","67,100",3
General Fund,City Council,Other Expense,,,,672,"1,931",,,3
General Fund,City Council,Salaries and Wages,,,,"143,441","119,441","127,441","127,441",3
General Fund,City Manager Total,,,,,"2,242,547","2,841,918","2,299,370","2,299,370",2
General Fund,City Manager,Direct Expenses,,,,"77,201","462,512","271,229","271,229",3
General Fund,City Manager,Employee Benefits,,,,"411,905","428,364","364,710","364,710",3
General Fund,City Manager,Miscellaneous,,,,"165,299","246,149","238,050","238,050",3
General Fund,City Manager,Other Expense,,,,"10,732","16,218",,,3
General Fund,City Manager,Salaries and Wages,,,,"1,577,410","1,688,675","1,425,381","1,425,381",3
General Fund,Community Svcs Total,,,,,"1,793,287","1,882,563","1,874,720","1,874,720",2
General Fund,Community Svcs,Direct Expenses,,,,"170,155","187,573","235,804","235,804",3
General Fund,Community Svcs,Employee Benefits,,,,"246,661","264,265","268,406","268,406",3
General Fund,Community Svcs,Miscellaneous,,,,"9,226","19,226","30,226","30,226",3
General Fund,Community Svcs,Other Expense,,,,"207,191","240,647","174,393","174,393",3
General Fund,Community Svcs,Salaries and Wages,,,,"1,160,054","1,170,852","1,165,891","1,165,891",3
General Fund,Construction Mgmt Total,,,,,"1,381,013","1,364,454","1,323,933","1,323,933",2
General Fund,Construction Mgmt,Capital Equipment,,,,"2,500","2,500","2,500","2,500",3
General Fund,Construction Mgmt,Direct Expenses,,,,"114,369","101,832","94,242","94,242",3
General Fund,Construction Mgmt,Employee Benefits,,,,"255,003","260,569","264,918","264,918",3
General Fund,Construction Mgmt,Miscellaneous,,,,"24,773","24,573","21,800","21,800",3
General Fund,Construction Mgmt,Other Expense,,,,"30,780","36,490",,,3
General Fund,Construction Mgmt,Salaries and Wages,,,,"953,588","938,490","940,473","940,473",3
General Fund,Development Services Total,,,,,"2,824,414","3,362,764","3,379,328","3,379,328",2
General Fund,Development Services,Direct Expenses,,,,"231,891","357,207","287,431","287,431",3
General Fund,Development Services,Employee Benefits,,,,"561,681","652,681","688,331","688,331",3
General Fund,Development Services,Miscellaneous,,,,"13,000","17,950","18,716","18,716",3
General Fund,Development Services,Other Expense,,,,"16,457","21,443",,,3
General Fund,Development Services,Salaries and Wages,,,,"2,001,385","2,313,483","2,384,850","2,384,850",3
General Fund,Emergency Communications Total,,,,,"7,280,440","7,587,378","7,962,567","7,962,567",2
General Fund,Emergency Communications,Capital Equipment,,,,"5,506","5,506","5,506","5,506",3
General Fund,Emergency Communications,Direct Expenses,,,,"487,408","481,578","485,575","485,575",3
General Fund,Emergency Communications,Employee Benefits,,,,"1,560,653","1,621,693","1,863,058","1,863,058",3
General Fund,Emergency Communications,Miscellaneous,,,,"42,225","40,660","40,860","40,860",3
General Fund,Emergency Communications,Other Expense,,,,"31,578","56,089",,,3
General Fund,Emergency Communications,Salaries and Wages,,,,"5,153,070","5,381,852","5,567,568","5,567,568",3
General Fund,Finance Administration Total,,,,,"459,304","581,181","521,804","521,804",2
General Fund,Finance Administration,Capital Equipment,,,,,"6,000",,,3
General Fund,Finance Administration,Direct Expenses,,,,"20,185","64,932","10,100","10,100",3
General Fund,Finance Administration,Employee Benefits,,,,"70,741","70,957","74,878","74,878",3
General Fund,Finance Administration,Miscellaneous,,,,"16,412","66,112","95,600","95,600",3
General Fund,Finance Administration,Other Expense,,,,"24,750","39,163",,,3
General Fund,Finance Administration,Salaries and Wages,,,,"327,216","334,017","341,226","341,226",3
General Fund,Finance Internal Audit Office Total,,,,,"301,961","329,524",,,2
General Fund,Finance Internal Audit Office,Direct Expenses,,,,"33,004","32,857",,,3
General Fund,Finance Internal Audit Office,Employee Benefits,,,,"56,797","60,749",,,3
General Fund,Finance Internal Audit Office,Miscellaneous,,,,"4,323","10,323",,,3
General Fund,Finance Internal Audit Office,Salaries and Wages,,,,"207,837","225,595",,,3
General Fund,Fire Adm Total,,,,,"2,010,374","2,281,876","2,556,740","2,556,740",2
General Fund,Fire Adm,Capital Equipment,,,,,,"87,800","87,800",3
General Fund,Fire Adm,Direct Expenses,,,,"82,704","99,530","510,035","510,035",3
General Fund,Fire Adm,Employee Benefits,,,,"166,296","203,410","193,799","193,799",3
General Fund,Fire Adm,Miscellaneous,,,,"10,364","18,062","28,685","28,685",3
General Fund,Fire Adm,Other Expense,,,,"1,138,155","1,218,102","1,025,175","1,025,175",3
General Fund,Fire Adm,Salaries and Wages,,,,"612,855","742,772","711,246","711,246",3
General Fund,Fire Operations Total,,,,,"40,723,727","41,052,423","42,100,060","42,100,060",2
General Fund,Fire Operations,Direct Expenses,,,,"1,236,392","1,386,021","1,133,692","1,133,692",3
General Fund,Fire Operations,Employee Benefits,,,,"9,464,343","9,405,648","9,474,051","9,474,051",3
General Fund,Fire Operations,Miscellaneous,,,,"31,270","32,340","50,940","50,940",3
General Fund,Fire Operations,Salaries and Wages,,,,"29,991,722","30,228,414","31,441,377","31,441,377",3
General Fund,Fire Support Svcs Total,,,,,"3,634,675","3,764,683","4,532,715","4,532,715",2
General Fund,Fire Support Svcs,Direct Expenses,,,,"2,750,492","2,873,455","3,532,237","3,532,237",3
General Fund,Fire Support Svcs,Employee Benefits,,,,"167,085","168,708","198,194","198,194",3
General Fund,Fire Support Svcs,Interfund Transfers In/Out,,,,"69,262","95,692","96,892","96,892",3
General Fund,Fire Support Svcs,Miscellaneous,,,,"7,040","7,290","7,310","7,310",3
General Fund,Fire Support Svcs,Salaries and Wages,,,,"640,796","619,538","698,082","698,082",3
General Fund,Fire Training Total,,,,,"1,052,938","1,066,848","1,317,855","1,317,855",2
General Fund,Fire Training,Capital Equipment,,,,"18,500","18,500","20,000","20,000",3
General Fund,Fire Training,Direct Expenses,,,,"407,170","412,324","455,303","455,303",3
General Fund,Fire Training,Employee Benefits,,,,"138,321","136,347","172,717","172,717",3
General Fund,Fire Training,Miscellaneous,,,,"36,569","38,869","33,869","33,869",3
General Fund,Fire Training,Salaries and Wages,,,,"452,378","460,808","635,966","635,966",3
General Fund,Fire-Hazmat Operations Total,,,,,"192,170","196,298","84,292","84,292",2
General Fund,Fire-Hazmat Operations,Direct Expenses,,,,"71,475","73,350","73,322","73,322",3
General Fund,Fire-Hazmat Operations,Employee Benefits,,,,"20,042","20,709",,,3
General Fund,Fire-Hazmat Operations,Miscellaneous,,,,"9,245","9,270","10,970","10,970",3
General Fund,Fire-Hazmat Operations,Salaries and Wages,,,,"91,408","92,969",,,3
General Fund,Human Resources Total,,,,,,,"3,783,768","3,783,768",2
General Fund,Human Resources,Direct Expenses,,,,,,"682,020","682,020",3
General Fund,Human Resources,Employee Benefits,,,,,,"590,076","590,076",3
General Fund,Human Resources,Miscellaneous,,,,,,"442,497","442,497",3
General Fund,Human Resources,Other Expense,,,,,,"4,000","4,000",3
General Fund,Human Resources,Salaries and Wages,,,,,,"2,065,175","2,065,175",3
General Fund,Human Service Agencies Total,,,,,"1,221,850","1,227,061","1,542,644","1,542,644",2
General Fund,Human Service Agencies,Other Expense,,,,"1,221,850","1,227,061","1,542,644","1,542,644",3
General Fund,Information Technology Admin Total,,,,,"1,157,820","1,077,099","1,149,046","1,149,046",2
General Fund,Information Technology Admin,Direct Expenses,,,,"347,949","295,220","278,533","278,533",3
General Fund,Information Technology Admin,Employee Benefits,,,,"135,143","140,237","161,845","161,845",3
General Fund,Information Technology Admin,Miscellaneous,,,,,,175,175,3
General Fund,Information Technology Admin,Other Expense,,,,,,1,1,3
General Fund,Information Technology Admin,Salaries and Wages,,,,"674,728","641,642","708,492","708,492",3
General Fund,Inspections Total,,,,,"7,741,386","7,312,499","5,172,329","5,172,329",2
General Fund,Inspections,Capital Equipment,,,,"1,000","9,000","6,600","6,600",3
General Fund,Inspections,Direct Expenses,,,,"853,977","886,174","492,728","492,728",3
General Fund,Inspections,Employee Benefits,,,,"1,508,148","1,408,713","974,110","974,110",3
General Fund,Inspections,Miscellaneous,,,,"65,700","71,500","27,250","27,250",3
General Fund,Inspections,Other Expense,,,,"36,304","65,867","98,710","98,710",3
General Fund,Inspections,Salaries and Wages,,,,"5,276,257","4,871,245","3,572,931","3,572,931",3
General Fund,Internal Audit Office Total,,,,,,,"516,903","516,903",2
General Fund,Internal Audit Office,Direct Expenses,,,,,,"107,807","107,807",3
General Fund,Internal Audit Office,Employee Benefits,,,,,,"84,651","84,651",3
General Fund,Internal Audit Office,Miscellaneous,,,,,,"13,823","13,823",3
General Fund,Internal Audit Office,Salaries and Wages,,,,,,"310,622","310,622",3
General Fund,IT Application Support Total,,,,,"4,886,092","5,011,954","4,523,239","4,523,239",2
General Fund,IT Application Support,Direct Expenses,,,,"2,172,279","2,270,879","1,946,019","1,946,019",3
General Fund,IT Application Support,Employee Benefits,,,,"579,699","590,125","562,442","562,442",3
General Fund,IT Application Support,Salaries and Wages,,,,"2,134,114","2,150,950","2,014,778","2,014,778",3
General Fund,IT Customer Relationship Mgt Total,,,,,"2,261,809","2,204,585","2,045,733","2,045,733",2
General Fund,IT Customer Relationship Mgt,Direct Expenses,,,,"1,354,177","1,335,377","1,242,549","1,242,549",3
General Fund,IT Customer Relationship Mgt,Employee Benefits,,,,"201,242","193,390","184,268","184,268",3
General Fund,IT Customer Relationship Mgt,Miscellaneous,,,,"10,000","10,000","4,200","4,200",3
General Fund,IT Customer Relationship Mgt,Salaries and Wages,,,,"696,390","665,818","614,716","614,716",3
General Fund,IT Enterprise Infrastructure M Total,,,,,"5,917,682","6,683,136","7,204,701","7,204,701",2
General Fund,IT Enterprise Infrastructure M,Direct Expenses,,,,"3,696,707","4,483,807","5,033,884","5,033,884",3
General Fund,IT Enterprise Infrastructure M,Employee Benefits,,,,"472,608","489,353","504,105","504,105",3
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,,,,"1,748,367","1,709,976","1,666,712","1,666,712",3
General Fund,IT Strategy & Planning Total,,,,,"2,116,006","2,103,907","2,360,272","2,360,272",2
General Fund,IT Strategy & Planning,Direct Expenses,,,,"1,061,008","996,500","949,245","949,245",3
General Fund,IT Strategy & Planning,Employee Benefits,,,,"152,008","158,559","226,505","226,505",3
General Fund,IT Strategy & Planning,Miscellaneous,,,,"272,464","283,655","312,250","312,250",3
General Fund,IT Strategy & Planning,Other Expense,,,,"37,582","70,890",,,3
General Fund,IT Strategy & Planning,Salaries and Wages,,,,"592,944","594,303","872,272","872,272",3
General Fund,Municipal Complex Maint Total,,,,,"4,168,092","4,929,706",,,2
General Fund,Municipal Complex Maint,Capital Equipment,,,,,"85,800",,,3
General Fund,Municipal Complex Maint,Direct Expenses,,,,"2,275,439","2,614,373",,,3
General Fund,Municipal Complex Maint,Employee Benefits,,,,"416,123","495,294",,,3
General Fund,Municipal Complex Maint,Interfund Transfers In/Out,,,,"74,426","58,687",,,3
General Fund,Municipal Complex Maint,Miscellaneous,,,,"11,200","10,150",,,3
General Fund,Municipal Complex Maint,Salaries and Wages,,,,"1,390,904","1,665,402",,,3
General Fund,Neighborhood Code Enforcement Total,,,,,,,"2,549,587","2,549,587",2
General Fund,Neighborhood Code Enforcement,Capital Equipment,,,,,,"3,600","3,600",3
General Fund,Neighborhood Code Enforcement,Direct Expenses,,,,,,"378,605","378,605",3
General Fund,Neighborhood Code Enforcement,Employee Benefits,,,,,,"508,149","508,149",3
General Fund,Neighborhood Code Enforcement,Miscellaneous,,,,,,"40,000","40,000",3
General Fund,Neighborhood Code Enforcement,Salaries and Wages,,,,,,"1,619,233","1,619,233",3
General Fund,Office of Economic Development Total,,,,,,,"618,239","618,239",2
General Fund,Office of Economic Development,Direct Expenses,,,,,,"28,282","28,282",3
General Fund,Office of Economic Development,Employee Benefits,,,,,,"111,278","111,278",3
General Fund,Office of Economic Development,Miscellaneous,,,,,,"31,865","31,865",3
General Fund,Office of Economic Development,Salaries and Wages,,,,,,"446,814","446,814",3
General Fund,Office of Emerg Mgmt & Spec Ev Total,,,,,,,"219,456","219,456",2
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,,,,,,"34,667","34,667",3
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,,,,,,"45,122","45,122",3
General Fund,Office of Emerg Mgmt & Spec Ev,Miscellaneous,,,,,,"3,400","3,400",3
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,,,,,,"136,267","136,267",3
General Fund,Office of Sustainability Total,,,,,,,"658,420","658,420",2
General Fund,Office of Sustainability,Direct Expenses,,,,,,"92,083","92,083",3
General Fund,Office of Sustainability,Employee Benefits,,,,,,"101,774","101,774",3
General Fund,Office of Sustainability,Miscellaneous,,,,,,"16,800","16,800",3
General Fund,Office of Sustainability,Salaries and Wages,,,,,,"447,763","447,763",3
General Fund,Office of the Fire Marshall Total,,,,,"2,869,650","3,032,180","3,298,679","3,298,679",2
General Fund,Office of the Fire Marshall,Capital Equipment,,,,"15,000",,,,3
General Fund,Office of the Fire Marshall,Direct Expenses,,,,"245,065","260,674","279,199","279,199",3
General Fund,Office of the Fire Marshall,Employee Benefits,,,,"568,086","593,933","663,679","663,679",3
General Fund,Office of the Fire Marshall,Miscellaneous,,,,"32,662","46,402","47,437","47,437",3
General Fund,Office of the Fire Marshall,Salaries and Wages,,,,"2,008,837","2,131,171","2,308,364","2,308,364",3
General Fund,Other Agencies w COR Support Total,,,,,"300,850","300,850",,,2
General Fund,Other Agencies w COR Support,Other Expense,,,,"300,850","300,850",,,3
General Fund,Park Facility Maint-Remote Total,,,,,"5,884,995","6,074,678",,,2
General Fund,Park Facility Maint-Remote,Direct Expenses,,,,"3,538,276","3,609,295",,,3
General Fund,Park Facility Maint-Remote,Employee Benefits,,,,"412,951","417,660",,,3
General Fund,Park Facility Maint-Remote,Interfund Transfers In/Out,,,,"639,688","708,133",,,3
General Fund,Park Facility Maint-Remote,Miscellaneous,,,,"4,800","5,300",,,3
General Fund,Park Facility Maint-Remote,Salaries and Wages,,,,"1,289,280","1,334,290",,,3
General Fund,Parks & Rec - Admin Total,,,,,"3,605,813","3,626,926",,,2
General Fund,Parks & Rec - Admin,Direct Expenses,,,,"521,723","544,806",,,3
General Fund,Parks & Rec - Admin,Employee Benefits,,,,"394,534","414,411",,,3
General Fund,Parks & Rec - Admin,Miscellaneous,,,,"101,384","102,554",,,3
General Fund,Parks & Rec - Admin,Other Expense,,,,"1,064,841","954,182",,,3
General Fund,Parks & Rec - Admin,Salaries and Wages,,,,"1,523,331","1,610,973",,,3
General Fund,Parks & Rec - Parks Total,,,,,"8,060,778","8,475,210",,,2
General Fund,Parks & Rec - Parks,Capital Equipment,,,,"20,000","142,585",,,3
General Fund,Parks & Rec - Parks,Direct Expenses,,,,"1,672,076","1,700,672",,,3
General Fund,Parks & Rec - Parks,Employee Benefits,,,,"1,485,890","1,604,888",,,3
General Fund,Parks & Rec - Parks,Miscellaneous,,,,"41,400","42,250",,,3
General Fund,Parks & Rec - Parks,Salaries and Wages,,,,"4,841,412","4,984,815",,,3
General Fund,Parks & Rec - Recreation Total,,,,,"15,426,072","15,988,184",,,2
General Fund,Parks & Rec - Recreation,Capital Equipment,,,,"8,000","84,200",,,3
General Fund,Parks & Rec - Recreation,Direct Expenses,,,,"2,208,219","2,524,210",,,3
General Fund,Parks & Rec - Recreation,Employee Benefits,,,,"2,238,322","2,213,158",,,3
General Fund,Parks & Rec - Recreation,Miscellaneous,,,,"131,373","120,190",,,3
General Fund,Parks & Rec - Recreation,Salaries and Wages,,,,"10,840,158","11,046,426",,,3
General Fund,Parks & Rec Cemeteries Total,,,,,"311,359","299,796",,,2
General Fund,Parks & Rec Cemeteries,Direct Expenses,,,,"77,123","85,102",,,3
General Fund,Parks & Rec Cemeteries,Employee Benefits,,,,"61,226","52,022",,,3
General Fund,Parks & Rec Cemeteries,Salaries and Wages,,,,"173,010","162,672",,,3
General Fund,Parks & Rec Design/Dev Total,,,,,"1,524,704","1,983,144",,,2
General Fund,Parks & Rec Design/Dev,Direct Expenses,,,,"57,566","355,410",,,3
General Fund,Parks & Rec Design/Dev,Employee Benefits,,,,"294,141","339,462",,,3
General Fund,Parks & Rec Design/Dev,Miscellaneous,,,,"10,185","22,846",,,3
General Fund,Parks & Rec Design/Dev,Salaries and Wages,,,,"1,162,812","1,265,426",,,3
General Fund,Parks & Rec Greenway Total,,,,,"1,792,225","1,772,835",,,2
General Fund,Parks & Rec Greenway,Capital Equipment,,,,"21,300","7,600",,,3
General Fund,Parks & Rec Greenway,Direct Expenses,,,,"365,327","302,722",,,3
General Fund,Parks & Rec Greenway,Employee Benefits,,,,"368,331","393,561",,,3
General Fund,Parks & Rec Greenway,Miscellaneous,,,,"1,300","1,300",,,3
General Fund,Parks & Rec Greenway,Salaries and Wages,,,,"1,035,967","1,067,652",,,3
General Fund,Parks Highway Maint Total,,,,,"1,735,705","1,789,662",,,2
General Fund,Parks Highway Maint,Capital Equipment,,,,"13,000","17,000",,,3
General Fund,Parks Highway Maint,Direct Expenses,,,,"456,915","512,666",,,3
General Fund,Parks Highway Maint,Employee Benefits,,,,"343,320","332,704",,,3
General Fund,Parks Highway Maint,Miscellaneous,,,,"2,425","2,425",,,3
General Fund,Parks Highway Maint,Salaries and Wages,,,,"920,045","924,867",,,3
General Fund,Payroll Total,,,,,"655,317","477,854","482,121","482,121",2
General Fund,Payroll,Direct Expenses,,,,"34,039","33,216","22,000","22,000",3
General Fund,Payroll,Employee Benefits,,,,"119,726","82,661","90,142","90,142",3
General Fund,Payroll,Miscellaneous,,,,"2,262","5,262","6,000","6,000",3
General Fund,Payroll,Salaries and Wages,,,,"499,290","356,715","363,979","363,979",3
General Fund,Personnel Adm/Emp Relations Total,,,,,"3,063,718","3,522,376",,,2
General Fund,Personnel Adm/Emp Relations,Direct Expenses,,,,"470,693","562,810",,,3
General Fund,Personnel Adm/Emp Relations,Employee Benefits,,,,"475,424","525,964",,,3
General Fund,Personnel Adm/Emp Relations,Miscellaneous,,,,"296,324","456,465",,,3
General Fund,Personnel Adm/Emp Relations,Other Expense,,,,"15,763","23,517",,,3
General Fund,Personnel Adm/Emp Relations,Salaries and Wages,,,,"1,805,514","1,953,620",,,3
General Fund,Planning Total,,,,,"5,497,691","5,932,308","5,521,780","5,521,780",2
General Fund,Planning,Capital Equipment,,,,,400,400,400,3
General Fund,Planning,Direct Expenses,,,,"481,017","441,082","578,563","578,563",3
General Fund,Planning,Employee Benefits,,,,"996,474","1,129,826","993,951","993,951",3
General Fund,Planning,Interfund Transfers In/Out,,,,,,"231,431","231,431",3
General Fund,Planning,Miscellaneous,,,,"57,900","96,565","164,359","164,359",3
General Fund,Planning,Other Expense,,,,"229,825","258,974","3,000","3,000",3
General Fund,Planning,Salaries and Wages,,,,"3,732,475","4,005,461","3,550,076","3,550,076",3
General Fund,Police Administrative Services Total,,,,,"17,136,570","18,652,009","19,966,427","19,966,427",2
General Fund,Police Administrative Services,Capital Equipment,,,,"558,500","608,500","2,131,000","2,131,000",3
General Fund,Police Administrative Services,Direct Expenses,,,,"7,199,344","7,172,083","7,283,404","7,283,404",3
General Fund,Police Administrative Services,Employee Benefits,,,,"3,844,930","4,797,032","4,186,748","4,186,748",3
General Fund,Police Administrative Services,Interfund Transfers In/Out,,,,"19,598","19,598","19,598","19,598",3
General Fund,Police Administrative Services,Miscellaneous,,,,"250,552","160,052","290,952","290,952",3
General Fund,Police Administrative Services,Other Expense,,,,"1,593,994","2,290,036","2,242,671","2,242,671",3
General Fund,Police Administrative Services,Salaries and Wages,,,,"3,669,652","3,604,708","3,812,054","3,812,054",3
